AttributeDictionaryAttributeAndAllowedValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName
EMR Generic Spec 2 Label,STRING,1,1002,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 2 Label,,,,,,EMR,Generic Spec 2 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 2 Value,STRING,1,1003,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 2 Value,,,,,,EMR,Generic Spec 2 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 3 Label,STRING,1,1004,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 3 Label,,,,,,EMR,Generic Spec 3 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 3 Value,STRING,1,1005,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 3 Value,,,,,,EMR,Generic Spec 3 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 4 Label,STRING,1,1006,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 4 Label,,,,,,EMR,Generic Spec 4 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 4 Value,STRING,1,1007,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 4 Value,,,,,,EMR,Generic Spec 4 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 5 Label,STRING,1,1008,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 5 Label,,,,,,EMR,Generic Spec 5 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 5 Value,STRING,1,1009,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 5 Value,,,,,,EMR,Generic Spec 5 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 6 Label,STRING,1,1010,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 6 Label,,,,,,EMR,Generic Spec 6 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 6 Value,STRING,1,1011,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 6 Value,,,,,,EMR,Generic Spec 6 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 7 Label,STRING,1,1012,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Label,EMR Generic Spec 7 Label,,,,,,EMR,Generic Spec 7 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 7 Value,STRING,1,1013,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-3,Value,EMR Generic Spec 7 Value,,,,,,EMR,Generic Spec 7 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
